"","Estimate","Std. Error","t value","Pr(>|t|)","variable_name","Cohens_f2_partial_vec","Eta2_partial_vec","r2_partial_vec","power","label_col_1","label_col_2","label_col_3","label_col_4"
"1","0.0607540866101339","0.0145880203023462","4.16465602261074","3.2362975101024e-05","(Intercept)","NA","NA","NA","function (lambda = 1) 
{
    if (!is.numeric(lambda) || is.na(lambda)) 
        stop(""invalid argument 'lambda'"")
    if (lambda <= 0) 
        return(make.link(""log""))
    if (lambda == 1) 
        return(make.link(""identity""))
    linkfun <- function(mu) mu^lambda
    linkinv <- function(eta) pmax(eta^(1/lambda), .Machine$double.eps)
    mu.eta <- function(eta) pmax((1/lambda) * eta^(1/lambda - 1), .Machine$double.eps)
    valideta <- function(eta) all(is.finite(eta)) && all(eta > 0)
    link <- paste0(""mu^"", round(lambda, 3))
    structure(list(linkfun = linkfun, linkinv = linkinv, mu.eta = mu.eta, valideta = valideta, name = link), class = ""link-glm"")
}","hcp","full","",""
"2","0.000110469862647512","1.16815041505906e-05","9.45681833635501","7.7200067681929e-21","n_features","2.07038227631193","0.674307656178508","0.000241496706978817","1","hcp","full","",""
"3","-0.145806956085785","0.0385838430934642","-3.77896405323302","0.000161591579515502","n_features_log10","6.64834737012873","0.869252800427765","3.8562629684713e-05","1","hcp","full","",""
"4","-0.0381333098964032","0.00632194993019139","-6.03189052704959","1.89043923035814e-09","n_features_sqrt","0.420703175506185","0.296123203466686","9.82489736282011e-05","1","hcp","full","",""
"5","0.161308206973098","0.031303281790988","5.15307653843302","2.78660282224504e-07","n_features_cbrt","0.529200632248443","0.346063571442773","7.17058034680473e-05","1","hcp","full","",""
"6","0.697134310256263","0.0206305761597485","33.7913156112632","1.17620710429439e-202","Classifier_rf","27.7933762288376","0.96526979010546","0.00308341032029591","1","hcp","full","",""
"7","0.601663560966497","0.02063057615975","29.1636819208344","8.68276855266966e-159","Classifier_rr","111.836305003142","0.991137604160539","0.00229670822699246","1","hcp","full","",""
"8","0.311766498728979","0.0330268327009735","9.43979404721392","9.02680473739552e-21","Hierarchical","0.450502277484741","0.310583640217332","0.00024062799849689","1","hcp","full","",""
"9","0.614537795559163","0.0579511053770348","10.6044188727882","1.14069587626195e-25","rf_selected","0.265286886072684","0.209665403943375","0.000303665090630845","1","hcp","full","",""
"10","-0.14164270535854","0.0252260909965139","-5.61492882024862","2.2099579647766e-08","PermutationImportance","0.0289733215502186","0.0281575051008789","8.51352921322768e-05","0.986151718706413","hcp","full","",""
"11","0.000295405041427029","0.0898324680448832","0.00328839948246146","0.997376534237181","kPCA","0.0274242089852506","0.0266921966072188","2.92005308821786e-11","0.979199669798185","hcp","full","",""
"12","0.0846724334818822","0.0479540073260349","1.76570089140209","0.0775821934280166","PCA","0.0333825324184645","0.0323041384687799","8.41890081171304e-06","0.996020960251529","hcp","full","",""
"13","-0.000162955050017422","1.65201415986831e-05","-9.86402259593295","1.69953151746625e-22","n_features:Classifier_rf","0.427228755138428","0.299341471085335","0.000262741840145075","1","hcp","full","",""
"14","-0.000240944158661728","1.65201415986837e-05","-14.5848724856527","4.23784427876628e-46","n_features:Classifier_rr","0.66380466594027","0.398967907428684","0.000574415821274266","1","hcp","full","",""
"15","0.734212938661234","0.0545657941912527","13.4555530537652","9.55091389832979e-40","n_features_log10:Classifier_rf","0.0723498534046981","0.0674685161516908","0.000488904715696847","0.999999999091399","hcp","full","",""
"16","1.12431505316371","0.0545657941912531","20.6047592604074","1.58277810872443e-86","n_features_log10:Classifier_rr","0.806612302332281","0.446477808930543","0.00114645288041348","1","hcp","full","",""
"17","0.0935706249158584","0.00894058733192009","10.465825279933","4.6419892477047e-25","n_features_sqrt:Classifier_rf","0.362839700586326","0.266237988539829","0.00029577950700399","1","hcp","full","",""
"18","0.136551376521439","0.00894058733192036","15.2731997856464","3.54924462809327e-50","n_features_sqrt:Classifier_rr","2.19515946069238","0.687026574948061","0.000629913891207257","1","hcp","full","",""
"19","-0.500114169819567","0.0442695256556008","-11.2970302349805","8.0359602601132e-29","n_features_cbrt:Classifier_rf","0.0854872398347859","0.078754716497448","0.000344627319802893","0.999999999998603","hcp","full","",""
"20","-0.722711772886822","0.0442695256556019","-16.3252657936571","1.07070122516918e-56","n_features_cbrt:Classifier_rr","0.263735801646155","0.208695362830277","0.000719683659252013","1","hcp","full","",""
"21","-6.27888341759504e-06","2.49786571420966e-05","-0.2513699348158","0.801551157156825","n_features:Hierarchical","0.197072110241863","0.164628436796548","1.70627012185953e-07","1","hcp","full","",""
"22","-0.00106771656320492","9.01948594848522e-05","-11.8378870958188","2.10008130933706e-31","n_features:rf_selected","0.762451677775005","0.432608557380454","0.000378416014556238","1","hcp","full","",""
"23","-0.000107415486125394","2.29170459100608e-05","-4.68714364612924","2.9367349619359e-06","n_features:PermutationImportance","0.419893848794859","0.29572200002926","5.93249863936052e-05","1","hcp","full","",""
"24","-7.20062619858196e-07","0.000186053409679365","-0.00387019308648584","0.996912384866523","n_features:kPCA","0.306096892420235","0.234360018920976","4.04470901216314e-11","1","hcp","full","",""
"25","-0.000109749800027073","5.97076461848652e-05","-1.83811968884636","0.066177056261365","n_features:PCA","0.0861979198919443","0.0793574709667271","9.12365163230344e-06","0.999999999999034","hcp","full","",""
"26","-1.07021328876339","0.115592064861158","-9.25853595615637","4.69663165009844e-20","n_features_log10:Hierarchical","0.40021825825881","0.285825624611185","0.000231475886154242","1","hcp","full","",""
