Model,Param1 Name,Param1,N Features,N Training set,K,njobs,Runtime,Notes,Accuracy
SVC,C,1e-10,42,2000,3,5,0 days 00:00:01.986321,network_connection,0.13265993265993267
SVC,C,1e-10,42,4000,3,3,0 days 00:00:03.374266,network_connection,0.13602693602693602
SVC,C,1e-10,42,4000,3,4,0 days 00:00:03.214290,network_connection,0.13602693602693602
SVC,C,1e-10,42,4000,3,5,0 days 00:00:03.340786,network_connection,0.13602693602693602
SVC,C,1e-10,42,500,4,3,0 days 00:00:01.455118,network_connection,0.1542087542087542
SVC,C,1e-10,42,500,4,4,0 days 00:00:01.540684,network_connection,0.1542087542087542
SVC,C,1e-10,42,500,4,5,0 days 00:00:01.631252,network_connection,0.1542087542087542
SVC,C,1e-10,42,1000,4,3,0 days 00:00:01.601542,network_connection,0.1414141414141414
SVC,C,1e-10,42,1000,4,4,0 days 00:00:01.671159,network_connection,0.1414141414141414
SVC,C,1e-10,42,1000,4,5,0 days 00:00:01.718619,network_connection,0.1414141414141414
SVC,C,1e-10,42,2000,4,3,0 days 00:00:02.073819,network_connection,0.13265993265993267
SVC,C,1e-10,42,2000,4,4,0 days 00:00:02.017739,network_connection,0.13265993265993267
SVC,C,1e-10,42,2000,4,5,0 days 00:00:02.036259,network_connection,0.13265993265993267
SVC,C,1e-10,42,4000,4,3,0 days 00:00:04.087411,network_connection,0.13602693602693602
SVC,C,1e-10,42,4000,4,4,0 days 00:00:03.513905,network_connection,0.13602693602693602
SVC,C,1e-10,42,4000,4,5,0 days 00:00:03.642392,network_connection,0.13602693602693602
SVC,C,1e-10,42,500,5,3,0 days 00:00:01.494483,network_connection,0.1542087542087542
SVC,C,1e-10,42,500,5,4,0 days 00:00:01.596255,network_connection,0.1542087542087542
SVC,C,1e-10,42,500,5,5,0 days 00:00:01.713780,network_connection,0.1542087542087542
SVC,C,1e-10,42,1000,5,3,0 days 00:00:01.672035,network_connection,0.1414141414141414
SVC,C,1e-10,42,1000,5,4,0 days 00:00:01.741919,network_connection,0.1414141414141414
SVC,C,1e-10,42,1000,5,5,0 days 00:00:01.814620,network_connection,0.1414141414141414
SVC,C,1e-10,42,2000,5,3,0 days 00:00:02.179991,network_connection,0.13265993265993267
SVC,C,1e-10,42,2000,5,4,0 days 00:00:02.220996,network_connection,0.13265993265993267
SVC,C,1e-10,42,2000,5,5,0 days 00:00:02.194199,network_connection,0.13265993265993267
SVC,C,1e-10,42,4000,5,3,0 days 00:00:04.339056,network_connection,0.13602693602693602
SVC,C,1e-10,42,4000,5,4,0 days 00:00:04.389229,network_connection,0.13602693602693602
SVC,C,1e-10,42,4000,5,5,0 days 00:00:04.040603,network_connection,0.13602693602693602
SVC,C,1e-10,42,500,6,3,0 days 00:00:01.555004,network_connection,0.1542087542087542
SVC,C,1e-10,42,500,6,4,0 days 00:00:01.557602,network_connection,0.1542087542087542
SVC,C,1e-10,42,500,6,5,0 days 00:00:01.669786,network_connection,0.1542087542087542
SVC,C,1e-10,42,1000,6,3,0 days 00:00:01.635998,network_connection,0.1414141414141414
SVC,C,1e-10,42,1000,6,4,0 days 00:00:01.699999,network_connection,0.1414141414141414
SVC,C,1e-10,42,1000,6,5,0 days 00:00:01.824000,network_connection,0.1414141414141414
SVC,C,1e-10,42,2000,6,3,0 days 00:00:02.217625,network_connection,0.13265993265993267
SVC,C,1e-10,42,2000,6,4,0 days 00:00:02.331998,network_connection,0.13265993265993267
SVC,C,1e-10,42,2000,6,5,0 days 00:00:02.319988,network_connection,0.13265993265993267
SVC,C,1e-10,42,4000,6,3,0 days 00:00:04.366006,network_connection,0.13602693602693602
SVC,C,1e-10,42,4000,6,4,0 days 00:00:04.463532,network_connection,0.13602693602693602
SVC,C,1e-10,42,4000,6,5,0 days 00:00:04.708664,network_connection,0.13602693602693602
