0,1,2,3,4,5,6
187,8,1,6,2,0,2
4,193,2,7,8,0,5
0,1,193,12,0,0,0
0,0,0,202,0,0,1
2,3,0,2,179,0,11
0,2,0,3,0,206,3
2,7,0,4,11,1,215
