0,1,2,3,4,5,6
88,8,24,38,17,16,18
31,26,37,40,18,30,69
26,12,45,38,10,13,58
27,12,23,54,18,34,30
45,19,16,38,22,29,40
35,14,17,33,17,53,33
9,12,28,18,5,14,128
