0,1,2,3,4,5,6
71,20,30,27,17,30,11
16,25,39,33,13,33,44
20,21,91,30,9,10,38
26,19,41,83,10,27,11
30,19,8,28,71,33,29
22,19,14,26,27,84,13
7,21,34,13,15,12,115
