Model,Param1 Name,Param1,N Features,N Training set,K,njobs,Runtime,Notes,Accuracy,Seconds
SVC,C,2.15E-07,21,4000,6,1,00:03:41.157416,Confounds,0.113835377,221.16
SVC,C,2.15E-07,21,4000,6,2,00:02:22.822291,Confounds,0.113835377,142.82
SVC,C,2.15E-07,21,4000,6,3,00:01:55.371103,Confounds,0.113835377,115.37
SVC,C,1.00E-10,42,500,3,3,00:00:01.273032,network_connection,0.154208754,1.27
SVC,C,1.00E-10,42,500,3,4,00:00:01.494065,network_connection,0.154208754,1.49
SVC,C,1.00E-10,42,500,3,5,00:00:01.534931,network_connection,0.154208754,1.54
SVC,C,1.00E-10,42,1000,3,3,00:00:01.501645,network_connection,0.141414141,1.50
SVC,C,1.00E-10,42,1000,3,4,00:00:01.542029,network_connection,0.141414141,1.54
SVC,C,1.00E-10,42,1000,3,5,00:00:01.643237,network_connection,0.141414141,1.64
SVC,C,1.00E-10,42,2000,3,3,00:00:01.847588,network_connection,0.132659933,1.85
SVC,C,1.00E-10,42,2000,3,4,00:00:01.892775,network_connection,0.132659933,1.89
SVC,C,1.00E-10,42,2000,3,5,00:00:01.986321,network_connection,0.132659933,1.99
SVC,C,1.00E-10,42,4000,3,3,00:00:03.374266,network_connection,0.136026936,3.37
SVC,C,1.00E-10,42,4000,3,4,00:00:03.214290,network_connection,0.136026936,3.21
SVC,C,1.00E-10,42,4000,3,5,00:00:03.340786,network_connection,0.136026936,3.34
SVC,C,1.00E-10,42,500,4,3,00:00:01.455118,network_connection,0.154208754,1.46
SVC,C,1.00E-10,42,500,4,4,00:00:01.540684,network_connection,0.154208754,1.54
SVC,C,1.00E-10,42,500,4,5,00:00:01.631252,network_connection,0.154208754,1.63
SVC,C,1.00E-10,42,1000,4,3,00:00:01.601542,network_connection,0.141414141,1.60
SVC,C,1.00E-10,42,1000,4,4,00:00:01.671159,network_connection,0.141414141,1.67
SVC,C,1.00E-10,42,1000,4,5,00:00:01.718619,network_connection,0.141414141,1.72
SVC,C,1.00E-10,42,2000,4,3,00:00:02.073819,network_connection,0.132659933,2.07
SVC,C,1.00E-10,42,2000,4,4,00:00:02.017739,network_connection,0.132659933,2.02
SVC,C,1.00E-10,42,2000,4,5,00:00:02.036259,network_connection,0.132659933,2.04
SVC,C,1.00E-10,42,4000,4,3,00:00:04.087411,network_connection,0.136026936,4.09
SVC,C,1.00E-10,42,4000,4,4,00:00:03.513905,network_connection,0.136026936,3.51
SVC,C,1.00E-10,42,4000,4,5,00:00:03.642392,network_connection,0.136026936,3.64
SVC,C,1.00E-10,42,500,5,3,00:00:01.494483,network_connection,0.154208754,1.49
SVC,C,1.00E-10,42,500,5,4,00:00:01.596255,network_connection,0.154208754,1.60
SVC,C,1.00E-10,42,500,5,5,00:00:01.713780,network_connection,0.154208754,1.71
SVC,C,1.00E-10,42,1000,5,3,00:00:01.672035,network_connection,0.141414141,1.67
SVC,C,1.00E-10,42,1000,5,4,00:00:01.741919,network_connection,0.141414141,1.74
SVC,C,1.00E-10,42,1000,5,5,00:00:01.814620,network_connection,0.141414141,1.82
SVC,C,1.00E-10,42,2000,5,3,00:00:02.179991,network_connection,0.132659933,2.18
SVC,C,1.00E-10,42,2000,5,4,00:00:02.220996,network_connection,0.132659933,2.22
SVC,C,1.00E-10,42,2000,5,5,00:00:02.194199,network_connection,0.132659933,2.19
SVC,C,1.00E-10,42,4000,5,3,00:00:04.339056,network_connection,0.136026936,4.34
SVC,C,1.00E-10,42,4000,5,4,00:00:04.389229,network_connection,0.136026936,4.39
