,0
feature 346,0.0008421052631578885
feature 347,0.0
feature 348,0.0
feature 349,0.0
feature 350,0.0
feature 351,0.0
feature 352,0.0
feature 353,0.0
feature 354,0.0
feature 355,0.0
feature 356,0.0
feature 357,0.0
feature 358,0.0
feature 359,0.0
feature 360,0.0
feature 361,0.0
feature 362,0.0
feature 363,0.0
feature 364,0.0
feature 365,0.0
feature 366,0.0
feature 367,0.0
feature 368,0.0
feature 369,0.0
feature 370,0.0
feature 371,0.0
feature 372,0.0
feature 373,0.0
feature 374,0.0
feature 375,0.0
feature 376,0.0
feature 377,0.0
feature 378,0.0
feature 379,-0.0029473684210526317
feature 380,0.0
feature 381,0.0
feature 382,0.0
feature 383,0.0
feature 384,0.0
feature 385,0.0
feature 386,0.0
feature 387,0.0
feature 388,0.0
feature 389,0.0
feature 390,0.0
feature 391,0.0
feature 392,0.0
feature 393,0.0
feature 394,0.0
feature 395,0.0
feature 396,0.0
feature 397,0.0
feature 398,0.0
feature 399,0.0
feature 400,0.0
feature 401,0.0
feature 402,0.0
feature 403,0.0
feature 404,0.0
feature 405,0.0
feature 406,0.0
feature 407,0.0
feature 408,0.0
feature 409,0.0
feature 410,0.0
feature 411,-0.004631578947368387
feature 412,0.0
feature 413,0.0
feature 414,0.0
feature 415,0.0
feature 416,0.0
feature 417,0.0
feature 418,0.0
feature 419,0.0
feature 420,0.0
feature 421,0.0
feature 422,0.0
feature 423,0.0
feature 424,0.0
feature 425,0.0
feature 426,0.0
feature 427,0.0
feature 428,0.0
feature 429,0.0
feature 430,0.0
feature 431,0.0
feature 432,0.0
feature 433,0.0
feature 434,0.0
feature 435,0.0
feature 436,0.011368421052631606
feature 437,0.0
feature 438,0.0
feature 439,0.0
feature 440,0.0
feature 441,0.0
feature 442,0.0025263157894736656
feature 443,0.0
feature 444,0.0
feature 445,0.0
feature 446,0.0
feature 447,0.0
feature 448,0.0
feature 449,0.0
feature 450,0.0
feature 451,0.0
feature 452,0.0
feature 453,0.0
feature 454,0.0
feature 455,0.0
feature 456,0.0
feature 457,0.0
feature 458,0.0
feature 459,0.0
feature 460,0.0
feature 461,0.0
feature 462,0.0
feature 463,0.0
feature 464,0.0
feature 465,0.0
feature 466,0.0
feature 467,0.0
feature 468,0.0
feature 469,0.0
feature 470,0.0
feature 471,0.0
feature 472,0.0
feature 473,0.0
feature 474,0.0
feature 475,0.0
feature 476,0.0
feature 477,0.001684210526315777
feature 478,0.0
feature 479,0.0
feature 480,0.0
feature 481,0.0
feature 482,0.0
feature 483,0.0
feature 484,0.0
feature 485,0.0
feature 486,0.0
feature 487,0.0
feature 488,0.0
feature 489,0.0
feature 490,0.0
feature 491,0.0
feature 492,0.0
feature 493,0.0
feature 494,0.0
feature 495,0.0
feature 496,0.0
feature 497,0.0
feature 498,0.0
feature 499,0.0
feature 500,0.0
feature 501,0.0
feature 502,0.0
feature 503,0.0
feature 504,0.0
feature 505,0.0
feature 506,0.0
feature 507,0.0
feature 508,0.0
feature 509,0.0
feature 510,0.0
feature 511,0.0
feature 512,0.0
feature 513,0.0
feature 514,0.00926315789473684
feature 515,0.0
feature 516,0.0
feature 517,0.0
feature 518,0.0
feature 519,0.0
feature 520,0.0
feature 521,0.0
feature 522,0.0
feature 523,0.0
feature 524,0.0
feature 525,0.0
feature 526,0.0
feature 527,0.0
feature 528,0.0
feature 529,0.0
feature 530,0.0
feature 531,0.0
feature 532,0.0
feature 533,0.0
feature 534,0.0
feature 535,0.0
feature 536,0.0
feature 537,0.0
feature 538,0.0
feature 539,0.002105263157894721
feature 540,0.0
feature 541,0.0
feature 542,0.0
feature 543,0.0
feature 544,0.0
feature 545,0.0
feature 546,0.0
feature 547,0.0
feature 548,0.0
feature 549,0.0
feature 550,0.0
feature 551,0.0
feature 552,0.0
feature 553,0.0
feature 554,0.0
feature 555,0.0
feature 556,0.0
feature 557,0.0
feature 558,0.0
feature 559,0.0
feature 560,0.0
feature 561,0.0
feature 562,0.0
feature 563,0.0
feature 564,0.0
feature 565,0.0
feature 566,0.0
feature 567,0.0
feature 568,0.0
feature 569,0.0
feature 570,0.0
feature 571,0.0
feature 572,0.0
feature 573,0.0
feature 574,0.0
feature 575,0.0
feature 576,0.0
feature 577,0.0
feature 578,0.0
feature 579,0.0
feature 580,0.0
feature 581,0.0
feature 582,0.0
feature 583,0.0
feature 584,0.0
feature 585,0.0
feature 586,0.00042105263157894425
feature 587,0.0
feature 588,0.0
feature 589,0.0
feature 590,0.0
feature 591,0.0
feature 592,0.0
feature 593,0.0
feature 594,0.0
feature 595,0.0
feature 596,0.0
feature 597,0.0
feature 598,0.0
feature 599,0.0
feature 600,0.0
feature 601,0.0
feature 602,0.0
feature 603,0.0
feature 604,0.0008421052631578885
feature 605,0.0
feature 606,0.0
feature 607,0.0
feature 608,0.0
feature 609,0.0
feature 610,0.0
feature 611,0.0
feature 612,0.0
feature 613,0.0
feature 614,0.00042105263157894425
feature 615,0.0
feature 616,0.0
feature 617,0.0
feature 618,0.0
feature 619,0.0
feature 620,0.0
feature 621,0.0
feature 622,0.0
feature 623,0.0
feature 624,0.0
feature 625,0.0
feature 626,0.0
feature 627,0.0
feature 628,0.0
feature 629,0.0
feature 630,0.0
feature 631,0.0
feature 632,0.0
feature 633,0.0
feature 634,0.0
feature 635,0.0
feature 636,0.0
feature 637,0.0
feature 638,-0.0012631578947368328
feature 639,0.0
feature 640,0.0
feature 641,0.0
feature 642,0.0
feature 643,0.0
feature 644,0.0
feature 645,0.0
feature 646,0.0
feature 647,0.0
feature 648,0.0
feature 649,0.0
feature 650,0.0
feature 651,0.0
feature 652,0.0
feature 653,0.0
feature 654,0.0
feature 655,0.0
feature 656,0.0
feature 657,0.0
feature 658,0.0
feature 659,0.0
feature 660,0.0
feature 661,0.0
feature 662,0.0
feature 663,0.0
feature 664,0.0
feature 665,0.0
feature 666,0.0
feature 667,0.0
feature 668,0.0
feature 669,0.0
feature 670,0.0
feature 671,0.0
feature 672,0.0
feature 673,0.0
feature 674,0.0
feature 675,0.0
feature 676,0.0
feature 677,0.0
feature 678,0.0
feature 679,0.0
feature 680,0.0
feature 681,0.0
feature 682,0.0
feature 683,0.0
feature 684,0.0
feature 685,0.0
feature 686,0.0
feature 687,0.0
feature 688,0.0
feature 689,0.0
feature 690,0.0
feature 691,0.0
feature 692,0.0
feature 693,0.0
feature 694,0.0
feature 695,0.0
feature 696,0.0
feature 697,0.0
feature 698,0.0
feature 699,0.0
feature 700,0.0
feature 701,0.0
feature 702,-0.0008421052631578885
feature 703,0.0
feature 704,0.0
feature 705,0.0
feature 706,0.0
feature 707,0.0
feature 708,0.0
feature 709,0.0
feature 710,0.0
feature 711,0.0008421052631578885
feature 712,0.0
feature 713,0.0
feature 714,0.0
feature 715,0.0
feature 716,0.0
feature 717,0.0
feature 718,0.0
feature 719,0.0
feature 720,0.0
feature 721,0.0
feature 722,0.0
feature 723,0.0
feature 724,0.0
feature 725,0.0
feature 726,0.0
feature 727,0.0
feature 728,0.0
feature 729,0.0
feature 730,0.0
feature 731,0.0
feature 732,0.0
feature 733,0.0
feature 734,0.0
feature 735,0.0
feature 736,0.0
feature 737,0.0
feature 738,0.0
feature 739,0.0
feature 740,0.0
feature 741,0.0
feature 742,0.0
feature 743,0.0
feature 744,0.0
feature 745,0.0
feature 746,0.0
feature 747,0.0
feature 748,0.0
feature 749,0.0
feature 750,0.0
feature 751,0.0
feature 752,0.0
feature 753,0.0
feature 754,0.0
feature 755,0.0
feature 756,0.0
feature 757,0.0
feature 758,0.0008421052631578885
feature 759,0.0
feature 760,0.0
feature 761,0.0
feature 762,0.0
feature 763,0.0
feature 764,0.0
feature 765,0.0
feature 766,0.0
feature 767,0.0
feature 768,0.0
feature 769,0.0
feature 770,0.0
feature 771,0.0
feature 772,0.0
feature 773,0.0
feature 774,0.0
feature 775,0.0
feature 776,0.0
feature 777,0.0
feature 778,0.0
feature 779,0.0
feature 780,0.0
feature 781,0.0
feature 782,0.0
feature 783,0.0
feature 784,0.0
feature 785,0.0
feature 786,0.0
feature 787,0.0
feature 788,0.0
feature 789,0.0
feature 790,0.0
feature 791,0.0
feature 792,0.0
feature 793,0.0
feature 794,0.0
feature 795,0.0
feature 796,0.0
feature 797,0.0
feature 798,0.0
feature 799,0.0
feature 800,0.0
feature 801,0.0
feature 802,0.0
feature 803,0.0
feature 804,0.0
feature 805,0.0
feature 806,0.0
feature 807,0.0
feature 808,0.0
feature 809,0.0
feature 810,0.0
feature 811,0.0
feature 812,0.0
feature 813,0.0
feature 814,0.0
feature 815,0.0
feature 816,0.0
feature 817,0.0
feature 818,0.0
feature 819,0.0
feature 820,0.0
feature 821,0.0
feature 822,0.0
feature 823,0.0
feature 824,0.0
feature 825,0.0
feature 826,0.0
feature 827,0.0
feature 828,0.0
feature 829,0.0
feature 830,0.0
feature 831,0.0
feature 832,0.0
feature 833,0.0
feature 834,0.0
feature 835,0.0
feature 836,0.0
feature 837,0.0
feature 838,0.0
feature 839,0.0
feature 840,0.0
feature 841,0.0
feature 842,0.0
feature 843,0.0
feature 844,0.0
feature 845,0.0
feature 846,0.0
feature 847,0.0
feature 848,0.0
feature 849,0.0
feature 850,0.0
feature 851,0.0
feature 852,0.0
feature 853,0.0
feature 854,0.0
feature 855,0.0
feature 856,0.0
feature 857,0.0
feature 858,0.0
feature 859,0.0
feature 860,0.0
feature 861,0.0
feature 862,0.0
feature 863,0.0
feature 864,0.0
feature 865,0.0
feature 866,0.0
feature 867,0.0
feature 868,0.0
feature 869,0.0
feature 870,0.0
feature 871,0.0
feature 872,0.0
feature 873,0.0
feature 874,0.0
feature 875,0.0
feature 876,0.0
feature 877,0.0
feature 878,0.0
feature 879,0.0
feature 880,0.0
feature 881,0.0
feature 882,0.0
feature 883,0.0
feature 884,0.0
feature 885,0.0
feature 886,0.0
feature 887,0.0
feature 888,0.0
feature 889,0.0
feature 890,0.0
feature 891,0.0
feature 892,0.0
feature 893,0.0
feature 894,0.0
feature 895,0.0
feature 896,0.0
feature 897,0.0
feature 898,0.0
feature 899,0.0
feature 900,0.0
feature 901,0.0
feature 902,0.0
feature 903,0.0
feature 904,0.0
feature 905,0.0
feature 906,0.0
feature 907,0.0
feature 908,0.0
feature 909,0.0
feature 910,0.0
feature 911,0.0
feature 912,0.0
feature 913,0.0
feature 914,0.0
feature 915,0.0
feature 916,0.0
feature 917,0.0
feature 918,0.0
feature 919,0.0
feature 920,0.0
feature 921,0.0
feature 922,0.0
feature 923,0.0
feature 924,0.0
feature 925,0.0
feature 926,0.0
feature 927,0.0
feature 928,0.0
feature 929,0.0
feature 930,0.0
feature 931,0.0
feature 932,0.0
feature 933,0.0
feature 934,0.0
feature 935,0.0
feature 936,0.0
feature 937,0.0
feature 938,0.0
feature 939,0.0
feature 940,0.0
feature 941,0.0
feature 942,0.0
feature 943,0.0
feature 944,0.0
feature 945,0.0
feature 946,0.0
feature 947,0.0
feature 948,0.0
feature 949,0.0
feature 950,0.0
feature 951,0.0
feature 952,0.0
feature 953,0.0
feature 954,0.0
feature 955,0.0
feature 956,0.0
feature 957,0.0
feature 958,0.0
feature 959,0.0
feature 960,0.0
feature 961,0.0
feature 962,0.0
feature 963,0.0
feature 964,0.0
feature 965,0.0
feature 966,0.0
feature 967,0.0
feature 968,0.0
feature 969,0.0
feature 970,0.0
feature 971,0.0
feature 972,0.0
feature 973,0.0
feature 974,0.0
feature 975,0.0
feature 976,0.0
feature 977,0.0
feature 978,0.0
feature 979,0.0
feature 980,0.0
feature 981,0.0
feature 982,0.0
feature 983,0.0
feature 984,0.0
feature 985,0.0
feature 986,0.0
feature 987,0.0
feature 988,0.0
feature 989,0.0
feature 990,0.0
feature 991,0.0
feature 992,0.0
feature 993,0.0
feature 994,0.0
feature 995,0.0
feature 996,0.0
feature 997,0.0
feature 998,0.0
feature 999,0.0
feature 1000,0.0
feature 1001,0.0
feature 1002,0.0
feature 1003,0.0
feature 1004,0.0
feature 1005,0.0
feature 1006,0.0
feature 1007,0.0
feature 1008,0.0
feature 1009,0.0
feature 1010,0.0
feature 1011,0.0
feature 1012,0.0
feature 1013,0.0
feature 1014,0.0
feature 1015,0.0
feature 1016,0.0
feature 1017,0.0
feature 1018,0.0
feature 1019,0.0
feature 1020,0.0
feature 1021,0.0
feature 1022,0.0
feature 1023,0.0
feature 1024,0.0
feature 1025,0.0
feature 1026,0.0
feature 1027,0.0
feature 1028,0.0
feature 1029,0.0012631578947368328
feature 1030,0.0
feature 1031,0.0
feature 1032,0.0
feature 1033,0.0
feature 1034,0.0
feature 1035,0.0
feature 1036,0.0
feature 1037,0.0
feature 1038,0.0
feature 1039,0.0
feature 1040,0.0
feature 1041,0.0
feature 1042,0.0
feature 1043,0.0
feature 1044,0.0
feature 1045,0.0
feature 1046,0.0
feature 1047,0.0
feature 1048,0.0
feature 1049,0.0
feature 1050,0.0
feature 1051,0.0
feature 1052,0.0
feature 1053,0.0
feature 1054,0.0
feature 1055,0.0
feature 1056,0.0
feature 1057,0.0
feature 1058,0.0
feature 1059,0.0
feature 1060,0.0
feature 1061,0.0
feature 1062,0.0
feature 1063,0.0
feature 1064,0.0
feature 1065,0.0
feature 1066,0.0
feature 1067,0.0
feature 1068,0.0
feature 1069,0.0
feature 1070,0.0
feature 1071,0.0
feature 1072,0.0
feature 1073,0.0
feature 1074,0.0
