trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,framewise_displacement,a_comp_cor_00,a_comp_cor_01,a_comp_cor_02,a_comp_cor_03,a_comp_cor_04,a_comp_cor_05,csf,white_matter
-0.000233496,-0.07688499999999998,0.062321,0.000732278,0.000351625,0.000841087,0.0,-0.0998708613,-0.00728608,0.0017796616,-0.008072814799999998,0.0309454164,-0.0223931366,439.699409122925,451.64545994173017
-0.00618689,-0.0783949,0.056772800000000005,0.000112219,0.000187469,0.0007746689999999999,0.05554314400000001,-0.0194371166,-0.0423080224,0.0167347812,-0.0120989298,0.08877674689999998,-0.0061711327,439.4716396327464,451.10343720480694
-0.000227194,-0.0698929,0.08310239999999998,0.00014347,0.000363949,0.000715982,0.054112196000000015,0.009095657900000002,-0.0532057389,-0.0303881765,-0.0529253953,0.0199224589,0.0147760767,439.7444977896616,450.9815046936725
0.00249169,-0.07470699999999998,0.0603373,0.000201685,0.000818487,0.0006813619999999999,0.057666734,0.0601952338,-0.0831948901,0.0035775264000000007,-0.037010692,0.0269463523,0.0025052517,440.7726201913719,450.6002613247885
-0.000226071,-0.0842039,0.0850794,0.000183417,0.000548007,0.000682247,0.051438411,0.0498325416,-0.0898192564,-0.0208254976,-0.07932870899999998,0.0085155266,-0.0009379559,440.11544221213455,450.67895876904544
-0.000283267,-0.049300800000000006,0.0690095,0.000253938,0.000564314,0.00100199,0.071358746,0.0264400725,0.0020050675,0.0101787287,-0.0997199265,0.0237486592,0.0792442609,440.5468279342143,451.13477682158816
0.00625297,-0.10381199999999997,0.0622702,0.000630291,0.000436212,0.000849024,0.100657787,0.0172148239,-0.0013367204,-0.0133132656,-0.0964485599,-0.0576874238,-0.08884384779999999,439.971918356366,451.24754303400806
0.00542692,-0.0299811,0.0481016,0.000504362,0.000288428,0.000643118,0.1128065,-0.0246741825,0.09058138,0.0687268983,-0.1050568621,0.0866273406,-0.0245297767,441.6691209047149,451.66390037796754
-0.000193206,-0.102268,0.0623533,0.00105238,0.000511414,0.000587838,0.133472926,0.009522982700000002,0.0593682584,-0.0986487446,-0.1097832284,-0.0397734016,-0.06977293080000001,441.07595099837727,451.42963300964664
-0.000186604,-0.048239599999999994,0.0623739,0.00105521,0.000196781,0.000587838,0.069928752,0.009358417,0.0804713504,0.1164569552,-0.0969850366,0.010961174099999998,0.0371935934,441.0816888510661,451.2767341699141
-0.000176197,-0.0482795,0.104244,0.000503082,-0.0,0.000587838,0.07936585699999997,0.0370151904,0.0473391999,-0.1315543293,-0.08543029119999998,-0.008030925399999998,0.0970793536,440.0676009268784,451.08160399375134
0.0190159,-0.0935262,0.0634726,0.00165259,-0.000564009,0.000587838,0.190886047,-0.001693387,0.033471124,0.1007096379,-0.0230828521,-0.1315635238,0.1198633613,440.0406950500812,451.0780701989528
0.00296013,-0.0500902,0.0681105,0.000485969,-0.000136999,0.000587838,0.14381122,-0.0366234794,-0.003039331,-0.0701715014,0.0246206675,-0.0450851106,0.1687144977,441.0108573857799,451.3340131677632
0.00499476,-0.0901972,0.0551788,0.00129423,-0.000564009,0.000587838,0.11683688,-0.1104014962,-0.0708105989,0.0838930294,0.0582744238,-0.1146600023,0.0838763336,441.32892051725656,451.66959924422713
-0.00350714,-0.00610724,0.041543300000000005,0.000729597,0.000134573,0.000587838,0.16938810999999998,-0.0992320058,-0.0831541526,-0.0683302559,0.07402660000000001,0.0574671125,0.0533689367,441.29604417212096,451.943733790486
-0.00849503,-0.107351,0.0486479,0.000599165,-8.456629999999998e-05,0.000587838,0.130814815,-0.0952560193,-0.0888429356,0.0322802975,0.0168934179,-0.0390715359,-0.06632986769999999,439.5775572918389,451.7795118758708
-0.00688211,0.0294519,0.044272000000000006,-0.000193523,0.000227932,0.000587838,0.198051035,-0.0321044651,-0.009174355100000002,-0.0610646234,-0.0131517786,0.1708017616,-0.0374920799,440.02549749431086,451.6486702201036
0.00326634,-0.15925999999999998,0.0152355,0.000969701,0.000369193,0.000587838,0.2931211,0.0191813044,-0.034429455299999995,0.014144348700000003,0.0338128502,-0.07523517259999998,-0.1909621111,438.85947278169607,451.37143323427966
-0.005610100000000001,0.00022753,0.0261428,-0.000217756,8.62398e-05,0.000352782,0.26454458,0.0265093233,-0.0313951177,0.0150983275,0.0023689209,0.1015496816,-0.0540379285,440.533219918716,451.418674927654
-0.00572534,-0.0741584,0.00507977,0.0008559909999999996,4.29263e-05,0.00017170799999999996,0.160470925,0.06154665,-0.0542211118,0.0107876903,0.0271147334,-0.0628777493,-0.1173601892,440.5799368949994,450.98741923754886
-0.00118535,0.00245313,-0.000202421,-9.66911e-05,9.33378e-05,0.00017170799999999996,0.136588391,0.0772615168,-0.0243781599,0.0194193052,0.006700574,0.0750088896,0.0415227754,441.38122026912913,451.21884961567935
-0.00560286,-0.0832789,-0.00791844,0.000793538,0.000238974,-0.0001679,0.166639224,0.0861119299,0.0192091121,-0.0390263105,0.017153668700000003,-0.1408861038,-0.056611252300000005,440.61432524185693,451.1951499637091
0.0247266,-9.10287e-05,-0.025473,-0.00019254,-8.0795e-05,2.64408e-08,0.20476056334000003,0.0430936789,0.0564075906,0.1045469341,0.014272806599999997,0.0716662138,0.0483943807,440.5317466862688,451.40808183855165
-0.013160499999999999,-0.058449,-0.017580099999999994,0.000231702,-6.66339e-05,0.000192142,0.13566390426000002,0.056654582300000006,0.1196887846,-0.1525219034,0.0578876955,-0.08128508639999998,-0.0379814961,441.3496620793409,451.65803560584885
-0.00603258,-0.0500171,-0.0247833,0.00046831,-7.714949999999997e-05,-0.000102964,0.0498745,0.0518899768,0.0832138271,0.127353224,0.0225338985,-0.0083764443,-0.0013048984,439.9789355951272,451.4914329421558
0.00961355,-0.02778,0.00605172,0.000390555,-0.000564009,-0.000230673,0.103334425,0.0308747713,0.087870348,-0.1383426528,0.026306169,-0.0381327172,0.042161324900000005,441.8324170906948,451.5957047745906
0.00603221,-0.08143409999999998,-0.00150943,0.000598627,-0.000564009,-0.00017753599999999995,0.07785704,0.0048581823,0.0832833501,0.1176437651,0.0019282735,-0.0914625614,-0.0240898318,442.1421448280629,451.71569618717376
0.00329382,-0.00183791,-0.00700995,0.000192722,-0.000396949,-8.54235e-05,0.12108897499999995,-0.0024913806,0.12940882869999995,-0.082804772,0.03541496,0.0126428987,0.062225355,442.2202261477598,452.0782585563248
0.0095656,-0.08829679999999998,0.0277812,0.00030737900000000004,-0.000564009,-0.000230673,0.148870145,-0.0456633302,0.104830997,0.0486181913,-0.0129518667,-0.1125693354,0.0793824018,442.0056382110554,451.9727092487751
-0.00379969,0.0076,0.014129,-0.000337071,-0.000275287,0.000243864,0.19329974,-0.1250163611,-0.0006506394,-0.0222315482,0.0884436103,0.08628129699999998,0.0710530095,441.5254807411212,452.422156516329
-0.000668729,-0.100088,0.0188178,0.000497784,-0.000318155,-2.682e-05,0.17292811099999994,-0.1225717318,-0.0232694974,0.0288594912,0.0815660219,-0.06174870230000001,0.007823076499999998,442.13392574177897,452.243044550861
-0.0120902,0.0157434,0.00331757,-0.000272609,-0.00019754,-8.28186e-05,0.190103431,-0.07307564499999998,-0.032072020699999995,0.0354574324,0.0634651916,0.1202212406,0.059711784800000015,442.186458109301,452.04326071535104
-0.01081,-0.0829682,0.0122716,0.000412129,-3.0097e-05,-0.000152784,0.15505315,-0.0399465902,-0.06392042490000001,-0.0842272846,0.1344119391,-0.097942238,-0.0382018953,441.2590582838436,451.8132239464368
0.00400323,-0.007317889999999999,-0.0249148,-6.45855e-05,-0.000166668,-0.000230673,0.162208665,-0.023728227200000004,-0.0771938065,0.0822857158,0.07440354219999998,0.0631214009,0.0225742023,442.1840544142557,451.7364178289735
-0.00903192,-0.0254855,0.02337,-0.00027932,-0.000156863,-0.000168087,0.093843835,-0.02788928,-0.07335519009999998,-0.1019938291,0.1021609846,0.033283687,0.0123954166,440.78739128511774,451.6984253872431
-0.00631965,-0.0700342,-0.00471415,0.000355277,-8.98504e-05,-0.000230673,0.11355489999999994,-0.0021922184,-0.0988961846,0.0600353609,0.0709903682,-0.06566264969999999,-0.0295332163,441.5716549475558,451.5946180912137
-0.00100016,0.0007708739999999996,-0.0158882,-0.000538062,-0.000213155,-0.000230673,0.138130794,-0.0174662873,-0.1248744635,-0.0655272317,0.0575949287,0.1162651371,-0.0480760161,441.4433674168323,451.78170183321055
-0.00512611,-0.0799821,-0.0200937,0.00027288,-0.000195736,-0.000324179,0.135177774,-0.0140364005,-0.08068381179999998,-0.0020058231,0.0694640432,-0.0726704096,-0.1370375931,441.97896494990766,451.9014526822982
-0.00134299,0.013397799999999996,-0.0559645,-0.0007324969999999998,-0.000564009,-0.000230673,0.20639162,-0.0205438498,-0.0341371819,0.057280806600000005,0.0693653399,0.1554963409,-0.1194130746,441.37051994925,452.096192979692
-0.00891159,-0.07985969999999998,-0.0181375,0.000129605,-0.000442199,-0.000230673,0.1878487,-0.0097475954,0.008147371700000001,-0.07725212169999998,0.0558737632,-0.0295678309,-0.165231892,441.60185621272166,452.19163032513046
-0.0136402,-0.0181933,-0.047551,-0.00022819,-0.000810835,-0.000230673,0.13213006,0.028800198,-0.01208134,0.1251740888,0.0771522885,0.15954060539999995,-0.092332246,440.8430639639087,451.83973570271866
-0.0136377,-0.0459219,-0.0132904,-0.000281322,-0.000968051,-0.000406534,0.08130215,0.0673195477,-0.0036815853,-0.1306384769,0.0607616104,-0.0179968598,-0.0351709193,441.9772978710859,451.5307194495872
-0.0115889,-0.0550514,-0.0430132,0.000417746,-0.0007284789999999997,-0.000230673,0.09662615,0.1356307935,-0.0303872886,0.1039064722,0.0474437436,0.0293036815,-0.012341147,440.4603336818588,451.03174098780335
-0.0136295,-0.00433675,-0.00473878,-0.00024329,-0.000251005,-0.000230673,0.14795517,0.0838086749,-0.0712725986,-0.0814105447,0.0328528204,-0.0395693456,0.0512361358,441.85269342148007,451.3664145820424
-0.0136385,-0.07197289999999999,-0.0384195,0.000423976,-0.0006717,-0.000230673,0.15572392,0.0585546214,0.0392701057,0.1189235129,-0.008459554000000001,-0.0579910088,0.0207332083,443.2663762623096,451.71893964671887
-0.00454682,-0.0135531,-0.00290173,-0.000582941,-0.000556461,-0.000230673,0.15913705000000003,0.0045857218,0.0681526438,-0.0650036517,-0.0296408859,-0.007540893199999998,-0.0115834119,442.68646544799606,452.29236836276687
-0.013645099999999999,-0.0523293,-0.0152048,2.36599e-05,-0.000968051,-0.000230673,0.111087095,-0.005510194499999999,0.1290162407,0.0758197678,-0.0153069722,0.0206285779,-0.0368333517,442.2108052139532,452.4975441386972
-0.013645099999999999,-0.0208627,0.0247814,-0.000582941,-0.000968051,-0.000230673,0.101782845,0.0826293416,0.0769382856,-0.0674643541,-0.0205208431,0.0854340239,-0.0259659103,440.88861786194445,451.80860346826125
-0.0136328,-0.0499755,0.00390002,0.000450421,-0.000968051,-0.000358392,0.10806053,0.1327237974,0.0611551684,0.0996870392,-0.0382883628,-0.0207589783,0.0011145912,440.0359264292656,451.4101971382548
-0.013645099999999999,0.0129652,0.0181277,-0.000429418,-0.000968051,-0.000230673,0.12755858,0.1350193531,-0.0118966181,-0.08607968,-0.0092029455,0.0512158428,0.08838433710000003,439.6306711984847,451.2282398873036
-0.00496619,-0.0699172,-0.015191299999999996,0.00017788599999999998,-0.000968051,-0.000230673,0.15524551,0.0535616567,0.0018688076,0.07603438559999999,0.009340842500000002,-0.08716346050000001,0.0720823366,441.4385212574668,451.84851212266415
-0.013645099999999999,-0.0122517,0.0040715,-0.000388733,-0.000968051,-0.000230673,0.11393815999999996,-0.0187081938,0.0293967792,-0.0430107074,-0.018438957,-0.0246028485,-0.0112767073,443.25920394644874,452.3828865994837
-0.013656799999999998,-0.0417285,-0.0312058,-0.000408789,-0.000730298,-0.000230673,0.07765624999999997,-0.0652664481,0.1348512108,0.0805323163,0.0139365591,-0.0258624087,-0.043105469900000006,443.76301067408633,452.9816740260928
-0.0136406,0.00710175,-0.025899,0.000336944,-0.0012571,-0.000230673,0.11778,-0.0432115169,0.1802549371,-0.063221288,0.021054532200000003,0.0347476552,-0.032400843900000004,443.4068761146343,452.81131359469146
-0.0136872,-0.07392,-0.0137692,0.000155514,-0.000721086,0.00017622299999999998,0.14941515,-0.0401265471,0.1825814701,0.0729957417,0.006967085600000001,-0.0176170114,0.0059936399,443.351474820768,452.6289415790924
-0.0231112,-0.00644954,-0.0101005,-0.000591969,-0.00145249,0.000121783,0.15722950999999996,0.0430539413,0.1594024201,-0.0652780679,0.053093762,0.060366718,0.0573701583,443.2975467593485,452.3661881747668
-0.0225025,-0.06447699999999999,-0.024772400000000003,0.000397949,-0.00145249,-0.000230673,0.14042675999999998,0.0694394435,0.0946254841,0.1094074776,0.0127532752,-0.0601566434,0.0167091004,442.5948924206256,451.9222655723204
-0.0250238,0.00752348,-0.0205926,-0.000482764,-0.00164223,-0.000230673,0.13222423,0.1692202341,0.0765120011,-0.030482428,0.0716892103,0.0557087846,0.1107645964,441.0425318833928,451.4373559273872
-0.013641,-0.0876741,-0.0239282,0.000406122,-0.00164378,-0.000230673,0.15443778,0.183046232,-0.0489958557,0.06540223349999999,-0.0114940897,-0.0838306983,0.07799357499999998,441.038383570976,450.8884563926048
-0.0019695,0.00951623,0.0522661,0.000780862,0.0005510140000000001,0.00107995,0.37906398,0.12774156,-0.1169783709,-0.0202694464,-0.1403726511,0.0688308481,0.0988723487,439.556040344256,451.057912637074
-0.000148572,-0.07515989999999999,0.0802432,0.0005963930000000001,0.0005510140000000001,0.0009921819999999999,0.12808600799999995,0.0277851118,-0.133511398,-0.0421835164,-0.1259143124,-0.1142184891,0.1234830373,440.4896432537013,451.75050323640977
0.0118695,-0.0401969,0.022244,0.000682792,0.000551015,0.0009980339999999999,0.109592872,-0.1128733665,-0.053564956,-0.0281001542,-0.08601418349999998,-0.0590580914,0.09334570230000001,441.8409075619032,452.80997805252576
0.000165941,-0.08635289999999997,0.0338725,0.0003712,0.000551015,0.0008118519999999996,0.094376759,-0.17778920239999998,-0.0131133102,0.0293445155,-0.1154790863,-0.1123848067,-0.0677288208,443.21337866348847,453.3074550662848
0.0241295,-0.0136409,-0.00698351,0.00022144,0.0007827000000000002,0.000977435,0.164882969,-0.2221094186,-0.0107695906,-0.0167706208,-0.0400817081,0.0172682544,-0.0412638749,443.3671376078372,453.4711460821509
-0.00221632,-0.0870895,0.014028299999999999,0.000353662,0.000551015,0.0007448119999999996,0.15063273000000002,-0.1545747213,0.1006495652,0.0260168144,-0.0987990905,-0.08301701039999998,-0.0704237252,442.5332492734964,453.2911299297508
-0.00101364,0.0131046,0.0150528,0.000194706,0.000551015,0.000875708,0.11691387999999996,-0.1799995331,-0.0303990896,-0.0737818419,-0.0360564807,0.14583094359999998,0.0369040062,441.4565102010315,453.15283080561767
0.0118424,-0.14461500000000002,0.014900499999999999,0.0011489,0.000634331,0.000960014,0.22681874,-0.1257931959,-0.0454643718,0.0482206766,0.0171193038,-0.0810278245,-0.02467257,442.3601056916857,452.83363622803125
0.0118806,0.0235662,0.0326047,-0.000132703,0.000380725,0.0007448119999999996,0.27344414999999994,-0.0576583617,-0.0745801054,-0.06323362,-0.0374111362,0.1325913779,0.06324306,442.9158632477216,452.3841889604775
0.00150663,-0.13544500000000004,0.0230743,0.0008085560000000002,0.000421621,0.0007448119999999996,0.22802332,-0.0272815427,-0.1437543984,-0.0063866974,-0.0242196812,-0.1124262558,0.040208173,441.1452704619416,452.022962133492
0.0118801,0.0131872,0.0440705,-0.000399326,0.000551015,0.000877561,0.25350312,0.012849099,-0.149016659,-0.0089107465,-0.102606349,0.1196204386,0.099724848,441.84152787030195,451.8270107233268
0.0118776,-0.09496189999999999,0.0448125,0.000697075,0.000551015,0.000744813,0.17035105,0.0197640147,-0.1834500841,-0.0338613965,-0.0993599951,-0.0745990542,-0.0016686419,440.0495732140389,451.8480309956728
-0.0192995,0.0105077,0.0355814,3.27761e-05,0.000547638,0.000954657,0.189753795,0.0157361377,-0.1079615886,-0.0040577278,-0.0720007844,0.1025585126,0.0409414639,440.822477478924,451.98625546216937
